species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Kerapu snubnose,snubnose grouper,Epinephelus macrospilos,Kerapu snubnose; snubnose grouper; Epinephelus macrospilos; snubnose grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,tati hitam
Kerapu arc-eye,arc-eye hawkfish,Paracirrhites arcatus,Kerapu arc-eye; arc-eye hawkfish; Paracirrhites arcatus,150,HIGH,Kerapu,LAUT,"HIAS, NON HIAS",rainbow strip
Kerapu asli,redbarred perchlet,Plectranthias retrofasciatus,Kerapu asli; redbarred perchlet; Plectranthias retrofasciatus; redbarred perchlet fish,150,HIGH,Kerapu,LAUT,HIAS,kerapu asli; kerapu anten
Nila tilapia,nile tilapia,Oreochromis niloticus,Nila tilapia; nile tilapia; Oreochromis niloticus; nile tilapia fish,150,HIGH,Nila,"PAYAU, TAWAR",NON HIAS,nila
Kerapu baldchin,baldchin grouper,Choerodon rubescens,Kerapu baldchin; baldchin grouper; Choerodon rubescens; baldchin grouper fish,150,HIGH,Kerapu,LAUT,NON HIAS,lalamong; lamu-lamu wungo
Kakap,metallic blue paracaesio; saddle-back snapper,Paracaesio kusakarii,Kakap; metallic blue paracaesio; saddle-back snapper; Paracaesio kusakarii; metallic blue paracaesio; saddle-back snapper fish,150,HIGH,Kakap,LAUT,NON HIAS,balimong; ikan sulir; pisang-pisang; lolosi
Kakap anggoli,goldbanded jobfish,Pristipomoides multidens,Kakap anggoli; goldbanded jobfish; Pristipomoides multidens,150,HIGH,Kakap,LAUT,NON HIAS,
Kakap badur,yellowstreaked snapper; darktail snapper; maroon seaperch,Lutjanus lemniscatus,Kakap badur; yellowstreaked snapper; darktail snapper; maroon seaperch; Lutjanus lemniscatus; yellowstreaked snapper; darktail snapper; maroon seaperch fish,150,HIGH,Kakap,LAUT,NON HIAS,cablikan; jarang gigi; ine; kotoha
Kakap bakau,humpback red snapper,Lutjanus gibbus,Kakap bakau; humpback red snapper; Lutjanus gibbus; humpback red snapper fish,150,HIGH,Kakap,LAUT,NON HIAS,canding; dapak; jinaha; condeng; daapa; tandok; tanduk; dayah meha; ginimas
Kakap balong,yellowdot sweetlip; lemonfish,Plectorhinchus flavomaculatus,Kakap balong; yellowdot sweetlip; lemonfish; Plectorhinchus flavomaculatus,150,HIGH,Kaci-kaci,LAUT,NON HIAS,kaci-kaci (jakarta); kakap balong; gerot-gerot
