species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Abalone,donkey's ear abalone,Haliotis asinina ; Haliotis diversicolor squamata ; Haliotis fulgens ; Haliotis iris ; Haliotis laevigata ; Haliotis midae ; Haliotis rubra ; Haliotis tuberculata ; Neptunea polycostata ; Vivere haliotis,keong mata sembilan; mata tujuh; opal laut; paua,Kerang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Haliotis fulgens ; Haliotis fulgens fish ; Haliotis midae ; Haliotis midae fish ; Haliotis tuberculata ; Haliotis tuberculata fish ; Vivere haliotis ; Vivere haliotis fish ; Haliotis rubra ; Haliotis rubra fish ; Haliotis asinina ; Haliotis asinina fish ; Haliotis iris ; Haliotis iris fish ; Haliotis laevigata ; Haliotis laevigata fish ; Haliotis diversicolor squamata ; Haliotis diversicolor squamata fish ; Neptunea polycostata ; Neptunea polycostata fish ; ikan Abalone ; abalone fish,100
Abat,taiwan soldier bream; taiwan tai,Argyrops bleekeri,abat,Kurisi,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Argyrops bleekeri ; Argyrops bleekeri fish ; ikan Abat ; taiwan soldier bream; taiwan tai fish,100
Acang-acang bombay,bombay duck,Harpadon nehereus,lomei; lembutan; lomek; nomei; bitak belande; asin jambrong,Bombay,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Harpadon nehereus ; Harpadon nehereus fish ; ikan Acang-acang bombay ; bombay duck fish,100
Aesi,gracile lizardfish,Saurida gracilis,aesi ambon,Palmas,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Saurida gracilis ; Saurida gracilis fish ; ikan Aesi ; gracile lizardfish fish,100
African lungfish,west african lungfish,Protopterus annectens,,Belut,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Protopterus annectens ; Protopterus annectens fish ; ikan African lungfish ; west african lungfish fish,100
African tigerfish,tiger fish; tiger fish,Hydrocynus vittatus,,Tigerfish,TAWAR,NON KONSUMSI,NON HIAS,TIDAK,HIGH,Hydrocynus vittatus ; Hydrocynus vittatus fish ; ikan African tigerfish ; tiger fish; tiger fish fish,100
Agam,green jobfish,Aprion virescens,guntur; ikan agam,Kurisi,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Aprion virescens ; Aprion virescens fish ; ikan Guntur ; green jobfish fish,100
Alashark,ricolor hark,Balantiocheilos Melanopterus,,BARB,TAWAR,,,YA,HIGH,Balantiocheilos Melanopterus ; Balantiocheilos Melanopterus fish ; ikan Alashark ; ricolor hark fish,100
Albakora,albacore,Thunnus alalunga,albakora,Tuna,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Thunnus alalunga ; Thunnus alalunga fish ; ikan Albakora ; albacore fish,100
Ali,blue-spotted stingray; blue dot stingray; bluespotted ribbon tail ray,Amphotistus kuhli,ali [ambon],Pari,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Amphotistus kuhli ; Amphotistus kuhli fish ; ikan Ali ; blue-spotted stingray; blue dot stingray; bluespotted ribbon tail ray fish,100
