id,id_ikan,id_komoditas,kode_genus,kode_species,fao_3a_code,fao_taxocode,foto1_filename,foto2_filename,nama_latin,nama_sinonim_latin,nama_umum,nama_inggris,nama_daerah,kelompok_besar,id_kelompok_besar,kelompok_indonesia,kode_kelompok_indonesia,id_kelompok_indonesia,kelompok_inggris,kode_kelompok_inggris,id_kelompok_inggris,kelompok_latin,kode_kelompok_latin,id_kelompok_latin,nama_kelompok_sdi,id_kelompok_sdi,nama_jenis_ikan,id_jenis_ikan,iucn_red_list,jenis_perairan,id_jenis_perairan,jenis_hias,id_jenis_hias,jenis_konsumsi,id_jenis_konsumsi,jenis_pemanfaatan,id_jenis_pemanfaatan,jenis_dilindungi,id_jenis_dilindungi,ket_dilindungi,jenis_dilarang,id_jenis_dilarang,ket_dilarang,status_ikan,id_status_ikan,status_komoditas,id_status_komoditas,source_data,sys_created_date,sys_updated_date,created_at,updated_at
1,"010101020101ALOPEL01970",I010101020101ALOPEL0197000085,Alopias,pelagicus,PTH,1060600602,http://md.kkp.go.id/upload/ikan/fd107bec4a5eaaed6441a46280dcc929.jpg,,Alopias pelagicus,,Hiu tikus,pelagic thresher,"cucut paitan; cucut tikus (lombok); cucut pedang (jakarta); tikusan (cilacap); hiu lancur (bali); hiu monyet; yee tikoh",pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Alopias,ALOP,31,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
2,"010101020101ALOPEL12663",I010101020101ALOPEL1266304703,Alopias,Pelagicus,PTH,1060600602,,,Alopias Pelagicus,Alopias Pelagicus,Hiu tikus,pelagic thresher,"cucut paitan; cucut tikus lombok; cucut pedang jakarta; tikusan cilacap; hiu lancur bali; hiu monyet; yee tikoh","0","0",HIU,Hiu,68,SHAR,Shark,144,ALOP,Alopias,31,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,,"0",,"0",Konsumsi,2,YA,1,,TIDAK,2,,Asli,1,Dilindungi,1,REVIEW PAKAR,2021-03-31 07:39:28,,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
3,"010101020101ALOSUP01969",I010101020101ALOSUP0196900088,Alopias,superciliosus,BTH,1060600603,http://md.kkp.go.id/upload/ikan/c39670decd7879fea5c72d127cead827.jpg,,Alopias superciliosus,,Hiu tikus,bigeye thresher,"cucut tikus (lombok); hiu monyet (bali); hiu lancur; paitan (cilacap)",pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Alopias,ALOP,31,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
4,"010101020101CARCAR01721",I010101020101CARCAR0172100090,Carcharodon,carcharias,WSH,1060800701,,,Carcharodon carcharias,"Squalus carcharias ; Carharodon carcharias ; Squalus caninus ; Carcharias lamia ; Carcharias verus",Hiu putih,white shark,hiu putih,pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Carcharodon,CARR,152,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
5,"010101020101CARFAL01735",I010101020101CARFAL0173500162,Carcharhinus,falciformis,FAL,1080201017,http://md.kkp.go.id/upload/ikan/5668ea21a0a3538e3437337bf4e37a0f.png,,Carcharhinus falciformis,,Hiu sutra,silky shark,"munsing (bali); hiu lonjor (lombok); hiu lanyaman; hiu lanyam (jawa); hiu kejen",pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Carcharhinus,CARH,150,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
6,"010101020101CARLON01731",I010101020101CARLON0173100093,Carcharhinus,longimanus,OCS,1080201011,http://md.kkp.go.id/upload/ikan/022e164bd2ffd2e8f3569829d1e7ddcc.jpg,,Carcharhinus longimanus,,Hiu sirip putih,oceanic whitetip shark,hiu koboi,pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Carcharhinus,CARH,150,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
7,"010101020101RHITYP00394",I010101020101RHITYP0039400095,Rhincodon,typus,RHN,1070500401,,,Rhincodon typus,,Hiu paus,whale shark,"hiu bodoh; hiu geger lintang; hiu totol; hiu bintang",pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Rhincodon,RHIC,811,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,"PermenKP No.59/PERMEN-KP/2014, Keputusan Menteri Kelautan dan Perikanan Nomor: 18/KEPMEN-KP/2013",ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
8,"010101020101SPHLEW00217",I010101020101SPHLEW0021700097,Sphyrna,lewini,SPL,1080300506,http://md.kkp.go.id/upload/ikan/e3e6f22244e557f1758d397a98734145.jpg,,Sphyrna lewini,,Hiu kepala martil bergerigi,scalloped hammerhead,,pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Sphyrna,SPHY,879,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
9,"010101020101SPHMOK00216",I010101020101SPHMOK0021600099,Sphyrna,mokarran,SPK,1080300510,,,Sphyrna mokarran,,Hiu martil,great hammerhead shark,"hiu caping; hiu topeng; hiu bingkoh",pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Sphyrna,SPHY,879,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
10,"010101020101SPHZYG00215",I010101020101SPHZYG0021500101,Sphyrna,zygaena,SPZ,1080300501,,,Sphyrna zygaena,,Hiu martil,smooth hammerhead shark,"hiu caping; hiu topeng; hiu bingkoh",pelagis besar,91,Hiu,HIU,68,Shark,SHAR,144,Sphyrna,SPHY,879,Pelagis Besar,1,Pisces (ikan bersirip),1,,LAUT,1,NON HIAS,2,KONSUMSI,1,Konsumsi,2,YA,1,Appendix II,TIDAK,2,,ASLI,1,Dilindungi,1,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
